genome_id	PA	n_genes	sporulation_ability	clade_name	Species
GCF_001434145.1	TRUE	16	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_otakiensis	Lentilactobacillus otakiensis
GCF_001434255.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lentilactobacillus|s__Lentilactobacillus_diolivorans	Lentilactobacillus diolivorans
GCF_001434295.1	TRUE	17	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Companilactobacillus|s__Companilactobacillus_versmoldensis	Companilactobacillus versmoldensis
GCF_001457635.1	TRUE	19	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae	Streptococcus pneumoniae
GCF_001457835.1	TRUE	22	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Fenollaria|s__Fenollaria_timonensis	Fenollaria timonensis
GCF_001486165.1	TRUE	45	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Bittarella|s__Bittarella_massiliensis	Bittarella massiliensis
GCF_001487105.1	TRUE	39	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_massiliensis	Mediterraneibacter massiliensis
GCF_001517625.2	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AT4	Clostridium sp AT4
GCF_001544295.1	TRUE	22	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_pseudoavium	Enterococcus pseudoavium
GCF_001552785.1	TRUE	15	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae	Atopobium deltae
GCF_001553005.1	TRUE	12	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_asaccharolytica	Gemella asaccharolytica
GCF_001553605.1	TRUE	19	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_fairfieldensis	Desulfovibrio fairfieldensis
GCF_001729805.1	TRUE	21	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_roggenkampii	Enterobacter roggenkampii
GCF_001750725.1	TRUE	21	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_ludwigii	Enterobacter ludwigii
GCF_001754075.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Merdimonas|s__Merdimonas_faecis	Merdimonas faecis
GCF_001881565.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi	Eisenbergiella tayi
GCF_001888925.1	TRUE	15	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii	Lactobacillus delbrueckii
GCF_001951095.1	TRUE	16	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Weissella|s__Weissella_cibaria	Weissella cibaria
GCF_002127965.1	TRUE	17	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes	Oxalobacter formigenes
GCF_002160515.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An172	Anaeromassilibacillus sp An172
GCF_002160675.1	TRUE	36	Spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_sp_An15	Erysipelatoclostridium sp An15
GCF_002160755.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An14	Lachnoclostridium sp An14
GCF_002160765.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An138	Lachnoclostridium sp An138
GCF_002160825.1	TRUE	45	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An131	Lachnoclostridium sp An131
GCF_002160985.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Lachnoclostridium_sp_An118	Lachnoclostridium sp An118
GCF_002161175.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_sp_An100	Flavonifractor sp An100
GCF_002161215.1	TRUE	46	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Flavonifractor|s__Flavonifractor_sp_An10	Flavonifractor sp An10
GCF_002222595.2	TRUE	48	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii	Blautia hansenii
GCF_002277935.1	TRUE	20	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_durans	Enterococcus durans
GCF_002278015.2	TRUE	21	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_hirae	Enterococcus hirae
GCF_002813755.1	TRUE	21	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_mundtii	Enterococcus mundtii
GCF_002874775.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Monoglobus|s__Monoglobus_pectinilyticus	Monoglobus pectinilyticus
GCF_002891025.1	TRUE	22	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_avium	Enterococcus avium
GCF_002959775.1	TRUE	21	Non-spore-former	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_rogosae	Veillonella rogosae
GCF_002959855.1	TRUE	22	Non-spore-former	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_denticariosi	Veillonella denticariosi
GCF_002959935.1	TRUE	20	Non-spore-former	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_tobetsuensis	Veillonella tobetsuensis
GCF_002998925.1	TRUE	20	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_diversum	Mogibacterium diversum
GCF_003019675.1	TRUE	24	Non-spore-former	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_ulcerans	Fusobacterium ulcerans
GCF_003019695.1	TRUE	18	Non-spore-former	k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_gonidiaformans	Fusobacterium gonidiaformans
GCF_003024655.1	TRUE	47	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster|s__Enterocloster_lavalensis	Enterocloster lavalensis
GCF_003024675.1	TRUE	30	Non-spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalibacillus|s__Faecalibacillus_faecis	Faecalibacillus faecis
GCF_003096415.1	TRUE	18	Non-spore-former	k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_vadensis	Victivallis vadensis
GCF_003096635.1	TRUE	21	Non-spore-former	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellia_unclassified|f__Tissierellia_unclassified|g__Ezakiella|s__Ezakiella_coagulans	Ezakiella coagulans
GCF_003172995.1	TRUE	15	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sobrinus	Streptococcus sobrinus
GCF_003176835.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis	Lactococcus lactis
GCF_003204205.1	TRUE	19	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides|s__Sanguibacteroides_justesenii	Sanguibacteroides justesenii
GCF_003268275.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogeniiclostridium|s__Hydrogeniiclostridium_mannosilyticum	Hydrogeniiclostridium mannosilyticum
GCF_003287895.1	TRUE	45	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_argi	Blautia argi
GCF_003340385.1	TRUE	16	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	Gordonibacter pamelaeae
GCF_003343305.1	TRUE	23	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_gilvus	Enterococcus gilvus
GCF_003402575.1	TRUE	13	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Mesosutterella|s__Mesosutterella_multiformis	Mesosutterella multiformis
GCF_003416765.1	TRUE	14	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Paratractidigestivibacter|s__Paratractidigestivibacter_faecalis	Paratractidigestivibacter faecalis
GCF_003432035.1	TRUE	47	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lacrimispora|s__Lacrimispora_amygdalina	Lacrimispora amygdalina
GCF_003435485.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis	Eisenbergiella massiliensis
GCF_003435975.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4	Clostridium sp AF36 4
GCF_003459085.1	TRUE	31	Non-spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis	Holdemania filiformis
GCF_003461765.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AF02_12	Roseburia sp AF02 12
GCF_003463065.1	TRUE	41	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_sp_OF03_15BH	Blautia sp OF03 15BH
GCF_003464085.1	TRUE	45	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM58_1XD	Clostridium sp AM58 1XD
GCF_003464225.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_biformis	Holdemanella biformis
GCF_003472385.1	TRUE	16	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_sp_AM11_39	Sutterella sp AM11 39
GCF_003473545.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM22_11AC	Clostridium sp AM22 11AC
GCF_003475105.1	TRUE	37	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum	Eubacterium ventriosum
GCF_003475485.1	TRUE	35	Spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa	Dielma fastidiosa
GCF_003477705.1	TRUE	40	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Dorea|s__Dorea_sp_AF36_15AT	Dorea sp AF36 15AT
GCF_003477765.1	TRUE	38	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_AF34_35BH	Eubacterium sp AF34 35BH
GCF_003477885.1	TRUE	47	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnotalea|s__Lachnotalea_sp_AF33_28	Lachnotalea sp AF33 28
GCF_003477935.1	TRUE	40	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF32_12BH	Clostridium sp AF32 12BH
GCF_003478085.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_sp_OF01_20	Eisenbergiella sp OF01 20
GCF_003478335.1	TRUE	46	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM49_4BH	Clostridium sp AM49 4BH
GCF_003478445.1	TRUE	42	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_sp_AM59_24XD	Roseburia sp AM59 24XD
GCF_003478505.1	TRUE	40	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF27_2AA	Clostridium sp AF27 2AA
GCF_003479305.1	TRUE	13	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AF17_16	Alistipes sp AF17 16
GCF_003479405.1	TRUE	36	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_AF16_48	Eubacterium sp AF16 48
GCF_003480105.1	TRUE	41	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM42_4	Clostridium sp AM42 4
GCF_003480315.1	TRUE	40	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM33_3	Clostridium sp AM33 3
GCF_003480545.1	TRUE	47	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AM29_11AC	Clostridium sp AM29 11AC
GCF_003574295.1	TRUE	44	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Mediterraneibacter_butyricigenes	Mediterraneibacter butyricigenes
GCF_003628755.1	TRUE	23	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta	Christensenella minuta
GCF_003703885.1	TRUE	17	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri	Limosilactobacillus reuteri
GCF_003798325.1	TRUE	17	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Propionibacteriales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acidifaciens	Propionibacterium acidifaciens
GCF_003814745.1	TRUE	53	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Hydrogenoanaerobacterium|s__Hydrogenoanaerobacterium_saccharovorans	Hydrogenoanaerobacterium saccharovorans
GCF_003865075.1	TRUE	14	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecalis	Bacteroides faecalis
GCF_003945365.1	TRUE	22	Non-spore-former	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium	Phascolarctobacterium faecium
GCF_003991565.1	TRUE	16	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_faecalis	Butyricimonas faecalis
GCF_004101845.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_curvatus	Latilactobacillus curvatus
GCF_004123145.1	TRUE	39	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia|s__Blautia_faecicola	Blautia faecicola
GCF_004134775.1	TRUE	34	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae|g__Candidatus_Borkfalkia|s__Candidatus_Borkfalkia_ceftriaxoniphila	Candidatus Borkfalkia ceftriaxoniphila
GCF_004135645.1	TRUE	15	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Senegalimassilia|s__Senegalimassilia_faecalis	Senegalimassilia faecalis
GCF_004138385.1	TRUE	13	Non-spore-former	k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonadia|o__Candidatus_Saccharimonadales|f__Candidatus_Saccharimonadaceae|g__Candidatus_Nanosynsacchari|s__Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	Candidatus Nanosynsacchari sp TM7 ANC 38 39 G1 1
GCF_004154955.1	TRUE	49	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens	Intestinimonas butyriciproducens
GCF_004216775.1	TRUE	46	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Cuneatibacter|s__Cuneatibacter_caecimuris	Cuneatibacter caecimuris
GCF_004295125.1	TRUE	46	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_scindens	Clostridium scindens
GCF_004353185.1	TRUE	53	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_cuniculi	Clostridium cuniculi
GCF_004354645.1	TRUE	15	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_fallax	Leuconostoc fallax
GCF_004535825.1	TRUE	16	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Segatella|s__Segatella_hominis	Segatella hominis
GCF_004785935.1	TRUE	19	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_rubneri	Streptococcus rubneri
GCF_005221305.1	FALSE	16	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_subflava	Neisseria subflava
GCF_005601135.1	TRUE	46	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_bovis	Ruminococcus bovis
GCF_006151905.1	TRUE	16	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus|s__Lacticaseibacillus_rhamnosus	Lacticaseibacillus rhamnosus
GCF_006542645.1	TRUE	15	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii	Alistipes onderdonkii
GCF_006542665.1	FALSE	13	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_communis	Alistipes communis
GCF_006542685.1	TRUE	13	Non-spore-former	k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_dispar	Alistipes dispar
GCF_006770265.1	TRUE	16	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_carnosus	Lactococcus carnosus
GCF_007035805.1	TRUE	20	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_asburiae	Enterobacter asburiae
GCF_007954525.1	TRUE	16	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_carnosum	Leuconostoc carnosum
GCF_007954605.1	TRUE	14	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_lactis	Leuconostoc lactis
GCF_007954785.1	TRUE	15	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Leuconostoc|s__Leuconostoc_citreum	Leuconostoc citreum
GCF_008121455.1	TRUE	45	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Evtepia|s__Evtepia_gabavorous	Evtepia gabavorous
GCF_008632235.1	TRUE	49	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_symbiosum	Clostridium symbiosum
GCF_008692995.1	TRUE	19	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_haemolysans	Gemella haemolysans
GCF_008831035.1	TRUE	16	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Ellagibacter|s__Ellagibacter_isourolithinifaciens	Ellagibacter isourolithinifaciens
GCF_009183815.1	TRUE	15	Non-spore-former	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_seckii	Sutterella seckii
GCF_009676365.1	TRUE	18	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Latilactobacillus|s__Latilactobacillus_sakei	Latilactobacillus sakei
GCF_009695545.1	TRUE	22	Non-spore-former	k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|f__Victivallaceae|g__Victivallis|s__Victivallis_lenta	Victivallis lenta
GCF_009695765.1	TRUE	41	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_porci	Roseburia porci
GCF_009695865.1	TRUE	17	Non-spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Baileyella|s__Baileyella_intestinalis	Baileyella intestinalis
GCF_009696065.1	TRUE	40	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Oliverpabstia|s__Oliverpabstia_intestinalis	Oliverpabstia intestinalis
GCF_009696075.1	TRUE	21	Non-spore-former	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemanella|s__Holdemanella_porci	Holdemanella porci
GCF_009697165.1	TRUE	43	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Anaerobutyricum|s__Anaerobutyricum_soehngenii	Anaerobutyricum soehngenii
GCF_009730295.1	TRUE	17	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella|s__Gemella_sanguinis	Gemella sanguinis
GCF_009731575.1	TRUE	21	Non-spore-former	k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	Akkermansia muciniphila
GCF_009734005.1	TRUE	19	Non-spore-former	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium	Enterococcus faecium
GCF_009831375.1	TRUE	41	Spore-former	k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Mediterraneibacter|s__Ruminococcus_gnavus	Ruminococcus gnavus
GCF_009834925.2	TRUE	16	Non-spore-former	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_guodeyinii	Eggerthella guodeyinii
